S1 WITH CO-OCCURENCES,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
AvaliacaoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
DisciplinaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
DocumentoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
ItemAvaliacaoAtendimentoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
ItemAvaliacaoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
OdontogramaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
PacienteAnamneseRepository,0,,0,0,0,0,2,0,1,0,,,,,,
PacienteRepository,0,,0,0,0,0,2,0,1,1,,,,,,
PatologiaRepository,0,,0,0,0,0,2,0,1,4,,,,,,
PerguntaRepository,0,,0,0,0,0,2,0,1,0,,,,,,
PlanoTratamentoRepository,0,,0,0,0,0,2,0,1,3,,,,,,
ProcedimentoRepository,0,,0,0,0,0,2,0,1,4,,,,,,
ServidorRepository,0,,0,0,0,0,2,0,1,0,,,,,,
TipoPatologiaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
TipoProcedimentoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
TokenRepository,0,,0,0,0,0,2,0,1,2,,,,,,
TurmaRepository,0,,0,0,0,0,2,0,1,4,,,,,,
UsuarioRepository,0,,0,0,0,0,2,0,1,2,,,,,,
ufc.npi.prontuario.service,,,,,,,,,,,,,,,,
AbstractServiceTest,0,,0,0,0,0,2,14,1,0,,,,,,
AlunoService,0,,0,0,0,0,0,1,0,2,,,,,,
AlunoServiceTest,0,,1,8,5,1,3,0,1,4,,,,,,
AnamneseService,0,,0,0,0,0,0,1,0,3,,,,,,
AnamneseServiceTest,41,,1,7,6,1,3,0,1,7,,,,,,
AtendimentoService,0,,0,0,0,0,0,1,0,5,,,,,,
AtendimentoServiceTest,9,,1,9,5,1,3,0,1,10,,,,,,
AvaliacaoService,0,,0,0,0,0,0,1,0,3,,,,,,
DisciplinaService,0,,0,0,0,0,0,1,0,2,,,,,,
DisciplinaServiceTest,0,,2,6,3,1,3,0,1,3,,,,,,
DocumentoService,0,,0,0,0,0,0,1,0,4,,,,,,
EmailService,0,,0,0,0,0,0,1,0,1,,,,,,
OdontogramaService,0,,0,0,0,0,0,1,0,1,,,,,,
OdontogramaServiceTest,0,,1,1,1,0,3,0,1,2,,,,,,
PacienteService,0,,0,0,0,0,0,1,0,3,,,,,,
.PacienteServiceTest,0,,1,6,4,1,3,0,1,5,,,,,,
PatologiaService,0,,0,0,0,0,0,1,0,6,,,,,,
PatologiaServiceTest,0,,1,4,4,0,3,0,1,7,,,,,,
PlanoTratamentoService,0,,0,0,0,0,0,1,0,5,,,,,,
ProcedimentoService,0,,0,0,0,0,0,1,0,4,,,,,,
ProcedimentoServiceTest,100,,1,1,1,0,3,0,1,4,,,,,,
ServidorService,0,,0,0,0,0,0,1,0,2,,,,,,
ServidorServiceTest,0,,2,6,3,1,3,0,1,4,,,,,,
TipoPatologiaService,0,,0,0,0,0,0,1,0,2,,,,,,
TipoPatologiaServiceTest,0,,1,4,3,1,3,0,1,3,,,,,,
TipoProcedimentoService,0,,0,0,0,0,0,1,0,2,,,,,,
TipoProcedimentoServiceTest,0,,1,4,3,1,3,0,1,3,,,,,,
TokenService,0,,0,0,0,0,0,1,0,2,,,,,,
TokenServiceTest,30,,1,5,5,0,3,0,1,4,,,,,,
TurmaService,0,,0,0,0,0,0,1,0,4,,,,,,
TurmaServiceTest,44,,1,17,10,1,3,0,1,8,,,,,,
UsuarioService,0,,0,0,0,0,0,1,0,3,,,,,,
UsuarioServiceTest,16,,1,8,6,1,3,0,1,6,,,,,,
ufc.npi.prontuario.service.impl,,,,,,,,,,,,,,,,
AlunoServiceImpl,0,,1,13,7,1,1,0,2,6,,,,,,
AnamneseServiceImpl,38,,2,20,9,3,1,0,2,7,,,,,,
AtendimentoServiceImpl,79,,1,27,16,2,1,0,2,20,,,,,,
AvaliacaoServiceImpl,62,,1,12,8,2,1,0,2,8,,,,,,
DisciplinaServiceImpl,0,,2,11,5,1,1,0,2,4,,,,,,
DocumentoServiceImpl,66,,2,13,5,5,1,0,2,8,,,,,,
EmailServiceImpl,80,,2,13,12,3,1,0,2,8,,,,,,
OdontogramaServiceImpl,0,,1,2,2,0,1,0,2,2,,,,,,
PacienteServiceImpl,0,,2,10,5,2,1,0,2,6,,,,,,
PatologiaServiceImpl,76,,3,21,7,2,1,0,2,21,,,,,,
PlanoTratamentoServiceImpl,0,,1,11,6,1,1,0,2,8,,,,,,
ProcedimentoServiceImpl,72,,4,21,6,2,1,0,2,23,,,,,,
ServidorServiceImpl,55,,2,14,5,1,1,0,2,8,,,,,,
TipoPatologiaServiceImpl,0,,1,10,6,1,1,0,2,4,,,,,,
TipoProcedimentoServiceImpl,0,,1,10,6,1,1,0,2,4,,,,,,
TokenServiceImpl,0,,1,5,5,0,1,0,2,3,,,,,,
TurmaServiceImpl,75,,2,28,13,2,1,0,2,14,,,,,,
UserDetailsService,0,,2,2,1,1,1,0,2,3,,,,,,
UsuarioServiceImpl,46,,2,10,5,3,1,0,2,7,,,,,,
EmailTask,0,,1,1,1,0,1,0,1,1,,,,,,
ufc.npi.prontuario.util,,,,,,,,,,,,,,,,
ConfigurationConstants,0,,0,0,0,0,1,0,1,0,,,,,,
EmailConstants,0,,0,0,0,0,1,0,1,0,,,,,,
ExceptionSuccessConstants,0,,0,0,0,0,1,0,1,0,,,,,,
FragmentsConstants,0,,0,0,0,0,1,0,1,0,,,,,,
MessagesConstants,0,,0,0,0,0,1,0,1,0,,,,,,
PagesConstants,0,,0,0,0,0,1,0,1,0,,,,,,
RedirectConstants,0,,0,0,0,0,1,0,1,0,,,,,,
Total,3596,,103,1120,867,111,172,34,138,551,,,,,,
Total All Metrics,3596,,,2201,,,,344,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL ,6692,,,,,,,,,,,,,,,
S1 WITHOUT CO-OCCURENCES,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
Pacote/Classe,LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
"Package,""ufc.npi.prontuario""",,,,,,,,,,,,,8416,199,1004,163
ProntuarioApplication,0,,1,1,1,0,1,0,1,0,,,,,,
ProntuarioApplicationTests,0,,1,1,1,0,1,0,1,0,,Total Tamanho:,9782,,,
ServletInitializer,0,,1,1,1,0,2,0,1,1,,,,,,
MvcConfig,0,,1,1,1,0,2,0,1,0,,,,,,
SecurityConfig,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.npi.prontuario.controller,,,,,,,,,,,,,,,,
AlunoController,30,,1,10,1,1,1,0,1,9,,,,,,
AlunoTurmaController,50,,2,6,1,1,1,0,1,9,,,,,,
AnamneseController,30,,1,14,1,1,1,0,1,4,,,,,,
AtendimentoController,0,,1,13,1,1,1,0,1,11,,,,,,
AtendimentoPatologiaController,0,,1,1,1,0,1,0,1,6,,,,,,
AtendimentoProcedimentoController,0,,1,1,1,0,1,0,1,6,,,,,,
AvaliacaoController,22,,1,13,1,1,1,0,1,7,,,,,,
DisciplinaController,27,,1,9,1,2,1,0,1,7,,,,,,
DocumentoController,19,,1,9,1,2,1,0,1,7,,,,,,
FormularioAtendimentoController,25,,1,2,1,0,1,0,1,8,,,,,,
OdontogramaController,71,,1,7,1,1,1,0,1,7,,,,,,
OdontogramaPatologiasController,80,,1,9,1,1,1,0,1,13,,,,,,
PacienteAnamneseController,80,,1,4,1,0,1,0,1,10,,,,,,
PacienteAtendimentoController,0,,1,2,1,0,1,0,1,5,,,,,,
PacienteController,50,,1,2,1,0,1,0,1,3,,,,,,
PacienteFormularioController,0,,1,2,1,0,1,0,1,3,,,,,,
PacienteListController,37,,1,6,1,1,1,0,1,7,,,,,,
PacienteTratamentoController,5,,1,6,1,1,1,0,1,9,,,,,,
PlanoTratamentoController,5,,1,6,1,1,1,0,1,12,,,,,,
ProfessorController,0,,2,8,1,2,1,0,1,8,,,,,,
ProfessorFormularioController,35,,1,4,1,1,1,0,1,7,,,,,,
ProfessorTurmaController,35,,1,7,1,1,1,0,1,5,,,,,,
ProntuarioController,0,,1,2,1,0,1,0,1,0,,,,,,
TipoPatologiaController,35,,1,9,1,3,1,0,1,7,,,,,,
TipoProcedimentoController,35,,1,9,1,3,1,0,1,7,,,,,,
TurmaAlunoController,0,,2,2,1,1,1,0,1,6,,,,,,
TurmaController,37,,1,7,1,1,1,0,1,10,,,,,,
TurmaProfessorController,50,,1,5,1,1,1,0,1,6,,,,,,
UsuarioController,28,,1,8,1,1,1,0,1,8,,,,,,
ufc.npi.prontuario.exception,,,,,,,,,,,,,,,,
ProntuarioException,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.npi.prontuario.model,,,,,,,,,,,,,,,,
Aluno,40,,1,10,1,0,2,0,1,0,,,,,,
AlunoTurma,58,,2,19,10,2,1,0,1,3,,,,,,
AlunoTurmaId,55,,2,17,10,2,1,0,2,3,,,,,,
Anamnese,80,,1,26,7,2,1,0,1,2,,,,,,
Atendimento,40,,1,38,7,2,1,0,2,8,,,,,,
Avaliacao,78,,1,32,7,2,1,0,1,5,,,,,,
AvaliacaoAtendimento,78,,1,30,7,2,1,0,1,4,,,,,,
Disciplina,55,,1,17,7,2,1,0,1,0,,,,,,
Documento,78,,1,16,1,0,1,0,1,1,,,,,,
DocumentoDownload,0,,1,7,1,0,2,0,1,0,,,,,,
ItemAvaliacao,70,,2,21,10,2,1,0,1,1,,,,,,
ItemAvaliacaoAtendimento,66,,1,23,10,2,1,0,1,1,,,,,,
Odontograma,55,,1,17,7,2,1,0,1,1,,,,,,
Paciente,40,,1,62,5,1,2,0,1,7,,,,,,
PacienteAnamnese,40,,1,23,7,2,1,0,1,4,,,,,,
Patologia,88,,1,32,7,2,1,0,2,8,,,,,,
Pergunta,60,,1,26,7,2,1,0,2,2,,,,,,
PlanoTratamento,40,,1,30,7,2,1,0,1,5,,,,,,
Procedimento,40,,1,29,7,2,1,0,2,6,,,,,,
Resposta,60,,1,19,7,2,1,0,1,2,,,,,,
Servidor,0,,0,0,0,0,2,0,1,0,,,,,,
TipoPatologia,75,,1,17,7,2,1,0,1,0,,,,,,
TipoProcedimento,75,,1,17,7,2,1,0,1,0,,,,,,
Token,50,,2,13,7,2,1,0,1,1,,,,,,
Tratamento,20,,1,19,7,2,1,0,1,3,,,,,,
Turma,87,,1,29,7,2,1,0,1,1,,,,,,
Usuario,85,,1,34,7,2,1,2,2,1,,,,,,
ufc.npi.prontuario.repository,,,,,,,,,,,,,,,,
AlunoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
AlunoTurmaRepository,0,,0,0,0,0,2,0,1,0,,,,,,
AnamneseRepository,0,,0,0,0,0,2,0,1,2,,,,,,
AtendimentoRepository,0,,0,0,0,0,2,0,1,6,,,,,,
AvaliacaoAtendimentoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
AvaliacaoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
DisciplinaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
DocumentoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
ItemAvaliacaoAtendimentoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
ItemAvaliacaoRepository,0,,0,0,0,0,2,0,1,0,,,,,,
OdontogramaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
PacienteAnamneseRepository,0,,0,0,0,0,2,0,1,0,,,,,,
PacienteRepository,0,,0,0,0,0,2,0,1,1,,,,,,
PatologiaRepository,0,,0,0,0,0,2,0,1,4,,,,,,
PerguntaRepository,0,,0,0,0,0,2,0,1,0,,,,,,
PlanoTratamentoRepository,0,,0,0,0,0,2,0,1,3,,,,,,
ProcedimentoRepository,0,,0,0,0,0,2,0,1,4,,,,,,
ServidorRepository,0,,0,0,0,0,2,0,1,0,,,,,,
TipoPatologiaRepository,0,,0,0,0,0,2,0,1,1,,,,,,
TipoProcedimentoRepository,0,,0,0,0,0,2,0,1,1,,,,,,
TokenRepository,0,,0,0,0,0,2,0,1,2,,,,,,
TurmaRepository,0,,0,0,0,0,2,0,1,4,,,,,,
UsuarioRepository,0,,0,0,0,0,2,0,1,2,,,,,,
ufc.npi.prontuario.service,,,,,,,,,,,,,,,,
AbstractServiceTest,0,,0,0,0,0,2,14,1,0,,,,,,
AlunoService,0,,0,0,0,0,0,1,0,2,,,,,,
AlunoServiceTest,50,,1,8,1,1,3,0,1,4,,,,,,
AnamneseService,0,,0,0,0,0,0,1,0,3,,,,,,
AnamneseServiceTest,45,,1,7,1,1,3,0,1,7,,,,,,
AtendimentoService,0,,0,0,0,0,0,1,0,5,,,,,,
AtendimentoServiceTest,40,,1,9,1,1,3,0,1,10,,,,,,
AvaliacaoService,0,,0,0,0,0,0,1,0,3,,,,,,
DisciplinaService,0,,0,0,0,0,0,1,0,2,,,,,,
DisciplinaServiceTest,50,,2,6,1,1,3,0,1,3,,,,,,
DocumentoService,0,,0,0,0,0,0,1,0,4,,,,,,
EmailService,0,,0,0,0,0,0,1,0,1,,,,,,
OdontogramaService,0,,0,0,0,0,0,1,0,1,,,,,,
OdontogramaServiceTest,50,,1,1,1,0,3,0,1,2,,,,,,
PacienteFormularioService,0,,0,0,0,0,0,1,0,0,,,,,,
PacienteService,0,,0,0,0,0,0,1,0,3,,,,,,
.PacienteServiceTest,50,,1,6,1,1,3,0,1,5,,,,,,
PatologiaService,0,,0,0,0,0,0,1,0,5,,,,,,
PatologiaServiceTest,50,,1,4,1,1,3,0,1,6,,,,,,
PlanoTratamentoService,0,,0,0,0,0,0,1,0,5,,,,,,
ProcedimentoService,0,,0,0,0,0,0,1,0,4,,,,,,
ProcedimentoServiceTest,80,,1,1,1,0,3,0,1,3,,,,,,
ServidorService,0,,0,0,0,0,0,1,0,2,,,,,,
ServidorServiceTest,50,,2,6,1,1,3,0,1,4,,,,,,
TipoPatologiaService,0,,0,0,0,0,0,1,0,2,,,,,,
TipoPatologiaServiceTest,50,,1,4,1,1,3,0,1,3,,,,,,
TipoProcedimentoService,0,,0,0,0,0,0,1,0,2,,,,,,
TipoProcedimentoServiceTest,50,,1,4,1,1,3,0,1,3,,,,,,
TokenService,0,,0,0,0,0,0,1,0,2,,,,,,
TokenServiceTest,53,,1,5,1,0,3,0,1,4,,,,,,
TurmaService,0,,0,0,0,0,0,1,0,4,,,,,,
TurmaServiceTest,71,,1,18,1,1,3,0,1,8,,,,,,
UsuarioService,0,,0,0,0,0,0,1,0,3,,,,,,
UsuarioServiceTest,44,,1,8,1,1,3,0,1,6,,,,,,
ufc.npi.prontuario.service.impl,,,,,,,,,,,,,,,,
AlunoServiceImpl,0,,1,13,1,1,1,0,2,6,,,,,,
AnamneseServiceImpl,67,,1,33,1,2,1,0,2,7,,,,,,
AtendimentoServiceImpl,45,,1,29,1,2,1,0,2,5,,,,,,
AvaliacaoServiceImpl,66,,1,13,1,2,1,0,2,8,,,,,,
DisciplinaServiceImpl,0,,2,11,1,1,1,0,2,4,,,,,,
DocumentoServiceImpl,76,,1,15,1,5,1,0,2,8,,,,,,
EmailServiceImpl,45,,1,21,4,3,1,0,2,8,,,,,,
OdontogramaServiceImpl,0,,1,2,1,0,1,0,2,2,,,,,,
PacienteFormularioService,0,,1,3,1,0,,,,,,,,,,
PacienteServiceImpl,71,,1,21,1,2,1,0,2,6,,,,,,
PatologiaServiceImpl,60,,2,27,1,2,1,0,2,4,,,,,,
PlanoTratamentoServiceImpl,0,,1,12,1,1,1,0,2,8,,,,,,
ProcedimentoServiceImpl,87,,1,36,1,2,1,0,2,4,,,,,,
ServidorServiceImpl,71,,2,17,1,1,1,0,2,15,,,,,,
TipoPatologiaServiceImpl,0,,1,12,1,1,1,0,2,19,,,,,,
TipoProcedimentoServiceImpl,0,,1,10,1,1,1,0,2,15,,,,,,
TokenServiceImpl,50,,1,8,1,2,1,0,2,3,,,,,,
TurmaServiceImpl,75,,2,28,1,2,1,0,2,5,,,,,,
UserDetailsService,0,,2,2,1,1,1,0,2,3,,,,,,
UsuarioServiceImpl,30,,1,8,1,1,1,0,2,6,,,,,,
EmailTask,0,,1,1,1,0,1,0,1,1,,,,,,
ufc.npi.prontuario.util,,,,,,,,,,,,,,,,
ConfigurationConstants,0,,0,0,0,0,0,0,0,0,,,,,,
EmailConstants,0,,0,0,0,0,1,0,1,0,,,,,,
ExceptionSuccessConstants,0,,0,0,0,0,1,0,1,0,,,,,,
FragmentsConstants,0,,0,0,0,0,1,0,1,0,,,,,,
MessagesConstants,0,,0,0,0,0,1,0,1,0,,,,,,
PagesConstants,0,,0,0,0,0,1,0,1,0,,,,,,
RedirectConstants,0,,0,0,0,0,1,0,1,0,,,,,,
Total,3875,,110,1223,247,116,186,35,151,569,,,,,,
Total All Metrics,3875,,,1696,,,,372,,,,,,,,
