S3 WITH CO-OCCURRENCES,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
ItemEntradaRepository,0,,0,0,0,0,2,0,1,2,,,,,,
ItemSaidaRepository,0,,0,0,0,0,2,0,1,4,,,,,,
MaterialRepository,0,,0,0,0,0,2,0,1,2,,,,,,
SaidaMaterialRepository,0,,0,0,0,0,2,0,2,1,,,,,,
SetorRepository,0,,0,0,0,0,2,0,1,0,,,,,,
TokenRepository,0,,0,0,0,0,2,0,1,2,,,,,,
UnidadeMedidaRepository,0,,0,0,0,0,2,0,1,0,,,,,,
UsuarioRepository,0,,0,0,0,0,2,0,1,1,,,,,,
ufc.npi.clinicas.service,,,,,,,,,,,,,,,,
AlocacaoItemSetorService,0,,0,0,0,0,0,1,0,2,,,,,,
EmailService,0,,0,0,0,0,0,1,0,1,,,,,,
EntradaService,0,,0,0,0,0,0,1,0,5,,,,,,
EstoqueLoteService,0,,0,0,0,0,0,1,0,3,,,,,,
EstoqueSetorService,0,,0,0,0,0,0,1,0,5,,,,,,
FornecedorService,0,,0,0,0,0,0,1,0,2,,,,,,
GrupoMaterialService,0,,0,0,0,0,0,1,0,2,,,,,,
ItemEntradaService,0,,0,0,0,0,0,1,0,3,,,,,,
ItemSaidaService,0,,0,0,0,0,0,1,0,5,,,,,,
MaterialService,0,,0,0,0,0,0,1,0,3,,,,,,
SaidaMaterialService,0,,0,0,0,0,0,1,0,5,,,,,,
SetorService,0,,0,0,0,0,0,1,0,2,,,,,,
TokenService,0,,0,0,0,0,0,1,0,2,,,,,,
UnidadeDeMedidaService,0,,0,0,0,0,0,1,0,2,,,,,,
UsuarioService,0,,0,0,0,0,0,1,0,2,,,,,,
ufc.npi.clinicas.service.impl,,,,,,,,,,,,,,,,
AlocacaoItemSetorServiceImpl,50,,1,14,1,1,1,0,2,5,,,,,,
EmailServiceImpl,87,,1,2,1,0,1,0,2,1,,,,,,
emailRecuperacaoSenha,0,,2,2,1,1,1,0,2,3,,,,,,
EntradaServiceImpl,82,,2,30,3,3,1,0,2,21,,,,,,
EstoqueLoteServiceImpl,0,,1,13,1,1,1,0,2,4,,,,,,
buscarMateriaisVencidos,0,,1,1,1,0,1,0,2,2,,,,,,
EstoqueSetorServiceImpl,55,,1,10,1,3,1,0,2,11,,,,,,
FornecedorServiceImpl,0,,2,16,1,2,1,0,2,4,,,,,,
GrupoMaterialServiceImpl,0,,2,16,1,2,1,0,2,4,,,,,,
ItemEntradaServiceImpl,33,,2,7,1,2,1,0,2,5,,,,,,
ItemSaidaServiceImpl,25,,1,10,1,1,1,0,2,7,,,,,,
MaterialServiceImpl,80,,1,32,5,3,1,0,2,8,,,,,,
SaidaMaterialServiceImpl,44,,1,11,1,1,1,0,2,11,,,,,,
SetorServiceImpl,0,,2,22,1,2,1,0,2,4,,,,,,
TokenServiceImpl,0,,1,5,1,0,1,0,2,3,,,,,,
UnidadeDeMedidaImpl,0,,2,10,3,2,1,0,2,4,,,,,,
UsuarioServiceImpl,59,,2,19,3,3,1,0,2,5,,,,,,
ufc.npi.clinicas.specification,,,,,,,,,,,,,,,,
EntradaSpecification,0,,1,1,1,0,1,0,1,1,,,,,,
buscarEntradaPeriodoMaterial,0,,4,4,1,1,1,0,2,3,,,,,,
RelatorioSpecification,0,,1,2,1,0,1,0,1,1,,,,,,
buscarEntradaPeriodoSetor,0,,4,4,1,1,1,0,2,3,,,,,,
buscarSaidaPeriodoOrigem,0,,4,4,1,1,1,0,2,1,,,,,,
SaidaSpecification,0,,1,1,1,0,1,0,1,1,,,,,,
buscarSaidaPeriodoMaterial,0,,4,4,1,1,1,0,2,3,,,,,,
ufc.npi.clinicas.teste.controller,,,,,,,,,,,,,,,,
EntradaControllerTeste,50,,1,2,1,0,1,0,1,4,,,,,,
MaterialControllerTeste,50,,1,2,1,0,1,0,1,2,,,,,,
RelatorioControllerTeste,0,,1,2,1,0,1,0,1,1,,,,,,
SaidaControllerTeste,0,,1,4,1,0,1,0,1,2,,,,,,
ufc.npi.clinicas.util,,,,,,,,,,,,,,,,
ConfigurationConstants,0,,0,0,0,0,1,0,1,0,,,,,,
Constants,0,,0,0,0,0,1,0,1,0,,,,,,
ufc.npi.clinicas.util.alert,,,,,,,,,,,,,,,,
Alert,57,,1,7,1,0,1,0,1,1,,,,,,
AlertSet,66,,1,8,1,0,2,0,1,2,,,,,,
Type,90,,1,4,1,0,1,0,1,0,,,,,,
ufc.npi.clinicas.util.api,,,,,,,,,,,,,,,,
Response,64,,1,15,1,0,1,0,1,3,,,,,,
ResponseStatus,80,,1,5,1,0,1,0,1,0,,,,,,
,,,,,,,,,,,,,,,,
Total,3300,,101,881,177,74,111,15,119,332,,,,,,
TotalAllMetrics,3300,,,1233,,,,245,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL,5110,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S3 WITHOUT CO-OCCURRENCES,,,,,,,,,,,,,,,,
Pacote/Classe,COHESION,,COMPLEXITY,,,,Inheritance,,,COUPLING,,,SIZE,,,
"Package ""ufc.npi.clinicas""",LCOM,,Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT,NOC,Base Classes,CBO,,,LOC,CLOC,Number of Methods,Number of Classes
ClinicasApplication,0,,1,3,1,0,1,0,1,0,,,5623,109,748,112
corsConfigurer,0,,1,1,1,0,1,0,2,0,,,,,,
MvrConfig,0,,1,1,1,0,2,0,1,0,,,,,,
ServletInitializer,0,,1,1,1,0,2,0,1,1,,Total Size,,,,
UserDetailsClinicas,0,,2,2,1,1,1,0,2,3,,6592,,,,
UsuarioControllerAdvice,0,,2,2,1,1,1,0,2,3,,,,,,
WebSecurityConfig,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.npi.clinicas.controller,,,,,,,,,,,,,,,,
ClinicasController,0,,1,1,1,0,1,0,1,0,,,,,,
ConfiguracoesController,100,,1,1,1,0,1,0,1,1,,,,,,
EntradaController,80,,2,42,6,1,1,0,1,19,,,,,,
FornecedorController,12,,1,12,1,1,1,0,1,6,,,,,,
GrupoMaterialController,12,,1,12,1,1,1,0,1,6,,,,,,
MaterialController,72,,1,30,3,2,1,0,1,11,,,,,,
RelatorioController,70,,1,23,1,1,1,0,1,15,,,,,,
SaidaController,82,,1,25,3,1,1,0,1,9,,,,,,
SetorController,62,,1,16,3,1,1,0,1,8,,,,,,
UnidadeMedidaController,12,,1,12,1,1,1,0,1,6,,,,,,
UsuarioController,65,,1,27,1,1,1,0,1,8,,,,,,
ufc.npi.clinicas.exceptions,,,,,,,,,,,,,,,,
ClinicasException,50,,1,2,1,0,2,0,1,0,,,,,,
ufc.npi.clinicas.model,,,,,,,,,,,,,,,,
AlocacaoItemSetor,80,,1,19,7,2,1,0,1,2,,,,,,
CodigoDeBarras,60,,1,5,1,0,1,0,1,1,,,,,,
Entrada,93,,1,47,7,2,1,0,1,6,,,,,,
getItens,0,,1,1,1,0,1,0,2,2,,,,,,
EstoqueLote,80,,1,12,1,0,1,0,1,1,,,,,,
EstoqueSetor,72,,1,18,7,2,1,0,1,2,,,,,,
Fornecedor,90,,1,31,7,2,1,0,1,0,,,,,,
GrupoMaterial,66,,1,15,7,2,1,0,1,0,,,,,,
ItemEntrada,40,,1,29,7,2,1,0,1,0,,,,,,
ItemSaida,83,,1,21,7,2,1,0,1,2,,,,,,
Material,88,,1,31,7,2,1,0,1,3,,,,,,
Papel,90,,1,5,1,0,1,0,2,0,,,,,,
SaidaMaterial,88,,1,31,7,2,1,0,1,5,,,,,,
Setor,75,,1,17,7,2,1,0,1,0,,,,,,
Status,83,,1,4,1,0,1,0,1,0,,,,,,
StatusEntrada,87,,1,4,1,0,1,0,1,0,,,,,,
TipoEntrada,91,,1,4,1,0,1,0,1,0,,,,,,
TipoSaida,92,,1,4,1,0,1,0,1,0,,,,,,
Token,50,,2,13,7,2,1,0,1,1,,,,,,
UnidadeMedida,50,,2,13,7,2,1,0,1,0,,,,,,
Usuario,91,,1,37,7,2,1,0,2,1,,,,,,
ufc.npi.clinicas.model.view,,,,,,,,,,,,,,,,
RelatorioEntradaSaidaDTO,66,,1,9,1,0,1,0,1,0,,,,,,
ufc.npi.clinicas.repository,,,,,,,,,,,,,,,,
AlocacaoItemSetorRepository,0,,0,0,0,0,2,0,1,1,,,,,,
CodigoBarrasRepository,0,,0,0,0,0,2,0,1,0,,,,,,
EntradaRepository,0,,0,0,0,0,2,0,2,0,,,,,,
EstoqueLoteRepository,0,,0,0,0,0,2,0,1,2,,,,,,
EstoqueSetorRepository,0,,0,0,0,0,2,0,1,3,,,,,,
"FornecedorRepository""",0,,0,0,0,0,2,0,1,0,,,,,,
GrupoMaterialRepository,0,,0,0,0,0,2,0,1,0,,,,,,
ItemEntradaRepository,0,,0,0,0,0,2,0,1,2,,,,,,
ItemSaidaRepository,0,,0,0,0,0,2,0,1,4,,,,,,
MaterialRepository,0,,0,0,0,0,2,0,1,2,,,,,,
SaidaMaterialRepository,0,,0,0,0,0,2,1,2,1,,,,,,
SetorRepository,0,,0,0,0,0,2,0,1,0,,,,,,
TokenRepository,0,,0,0,0,0,2,0,1,2,,,,,,
UnidadeMedidaRepository,0,,0,0,0,0,2,0,1,0,,,,,,
UsuarioRepository,0,,0,0,0,0,2,0,1,1,,,,,,
ufc.npi.clinicas.service,,,,,,,,,,,,,,,,
AlocacaoItemSetorService,0,,0,0,0,0,0,1,0,2,,,,,,
EmailService,0,,0,0,0,0,0,1,0,1,,,,,,
EntradaService,0,,0,0,0,0,0,1,0,5,,,,,,
EstoqueLoteService,0,,0,0,0,0,0,1,0,3,,,,,,
EstoqueSetorService,0,,0,0,0,0,0,1,0,5,,,,,,
FornecedorService,0,,0,0,0,0,0,1,0,2,,,,,,
GrupoMaterialService,0,,0,0,0,0,0,1,0,2,,,,,,
ItemEntradaService,0,,0,0,0,0,0,1,0,3,,,,,,
ItemSaidaService,0,,0,0,0,0,0,1,0,5,,,,,,
MaterialService,0,,0,0,0,0,0,1,0,3,,,,,,
SaidaMaterialService,0,,0,0,0,0,0,1,0,5,,,,,,
SetorService,0,,0,0,0,0,0,1,0,2,,,,,,
TokenService,0,,0,0,0,0,0,1,0,2,,,,,,
UnidadeDeMedidaService,0,,0,0,0,0,0,1,0,2,,,,,,
UsuarioService,0,,0,0,0,0,0,1,0,2,,,,,,
ufc.npi.clinicas.service.impl,,,,,,,,,,,,,,,,
AlocacaoItemSetorServiceImpl,50,,1,14,1,1,1,0,2,5,,,,,,
EmailServiceImpl,87,,1,2,1,0,1,0,2,1,,,,,,
emailRecuperacaoSenha,0,,2,2,1,1,1,0,2,3,,,,,,
EntradaServiceImpl,84,,1,33,3,2,1,0,2,21,,,,,,
EstoqueLoteServiceImpl,0,,1,10,1,3,1,0,2,4,,,,,,
buscarMateriaisVencidos,0,,1,1,1,0,1,0,2,2,,,,,,
EstoqueSetorServiceImpl,55,,1,10,1,3,1,0,2,11,,,,,,
FornecedorServiceImpl,0,,2,16,1,2,1,0,2,4,,,,,,
GrupoMaterialServiceImpl,0,,2,16,1,2,1,0,2,4,,,,,,
ItemEntradaServiceImpl,33,,2,7,1,2,1,0,2,5,,,,,,
ItemSaidaServiceImpl,75,,2,16,1,1,1,0,2,14,,,,,,
MaterialServiceImpl,84,,1,36,5,3,1,0,2,8,,,,,,
RelatorioServiceImpl,62,,1,7,1,1,1,0,2,5,,,,,,
SaidaMaterialServiceImpl,44,,1,11,1,1,1,0,2,11,,,,,,
SaidaServiceImpl,50,,2,7,1,2,1,0,2,7,,,,,,
SetorServiceImpl,0,,2,22,1,2,1,0,2,4,,,,,,
TokenServiceImpl,0,,1,5,1,0,1,0,2,3,,,,,,
UnidadeDeMedidaImpl,0,,2,10,3,2,1,0,2,4,,,,,,
UsuarioServiceImpl,63,,1,19,3,3,1,0,2,5,,,,,,
ufc.npi.clinicas.specification,,,,,,,,,,,,,,,,
EntradaSpecification,0,,1,1,1,0,1,0,1,1,,,,,,
buscarEntradaPeriodoMaterial,0,,4,4,1,1,1,0,2,3,,,,,,
RelatorioSpecification,0,,2,10,1,1,1,0,1,1,,,,,,
buscarEntradaPeriodoSetor,0,,4,4,1,1,1,0,2,3,,,,,,
buscarSaidaPeriodoOrigem,0,,4,4,1,1,1,0,2,1,,,,,,
SaidaSpecification,0,,1,1,1,0,1,0,1,1,,,,,,
buscarSaidaPeriodoMaterial,0,,4,4,1,1,1,0,2,3,,,,,,
ufc.npi.clinicas.teste.controller,,,,,,,,,,,,,,,,
EntradaControllerTeste,50,,1,2,1,0,1,0,1,4,,,,,,
MaterialControllerTeste,50,,1,2,1,0,1,0,1,2,,,,,,
RelatorioControllerTeste,0,,1,2,1,0,1,0,1,1,,,,,,
SaidaControllerTeste,0,,1,4,1,0,1,0,1,2,,,,,,
ufc.npi.clinicas.util,,,,,,,,,,,,,,,,
ConfigurationConstants,0,,0,0,0,0,1,0,1,0,,,,,,
Constants,0,,0,0,0,0,1,0,1,0,,,,,,
ufc.npi.clinicas.util.alert,,,,,,,,,,,,,,,,
Alert,57,,1,19,1,0,1,0,1,1,,,,,,
AlertSet,66,,1,8,1,0,2,0,1,2,,,,,,
Type,90,,1,4,1,0,1,0,1,0,,,,,,
ufc.npi.clinicas.util.api,,,,,,,,,,,,,,,,
Response,76,,1,10,1,0,1,0,1,3,,,,,,
ResponseStatus,80,,1,5,1,0,1,0,1,0,,,,,,
,,,,,,,,,,,,,,,,
Total,3438,,102,913,175,74,113,16,124,333,,,,,,
Total All Metrics,3438,,1264,,,,,253,,,,,,,,
