Class,LCOM,LCOM Modified,WMC,CC3,MaxNest,SCC,EVG,CBO,CBO Modified,IFANIN BASE CLASSES,NOC,DIT,FANIN,FANOUT
PessoaEntityListener.java,21,21,3,3,3,3,0,25,25,3,0,1,5,7
PessoaRepository.java,12,12,0,0,0,0,0,7,7,1,0,1,13,45
PessoaService.java,14,14,0,0,0,0,0,33,33,1,0,1,3,38
PessoaServiceImpl.java,47,47,3,3,3,3,0,32,32,1,0,1,6,14
RedirectConstants.java,9,9,0,0,0,0,0,41,41,1,0,1,34,9
Servidor.java,18,18,20,20,20,20,0,34,34,3,0,1,21,45
ServidorController.java,18,18,6,6,6,6,0,42,42,3,0,1,20,40
ServidorEntityListener.java,12,12,3,3,3,3,0,19,19,3,0,1,36,40
ServidorRepository.java,22,22,0,0,0,0,0,32,32,1,0,1,8,30
ServidorService.java,23,23,0,0,0,0,0,8,8,1,0,1,41,44
ServidorServiceImpl.java,1,1,10,10,10,7,1,20,20,2,0,1,9,34
ServletInitializer.java,61,61,1,1,1,1,0,33,33,3,0,1,24,40
